release_id,input,output,meaning,num_cognates,cognate_set_id,source,pos,pokorny_ref
train-e68a3a726ec3aff8-01,[lit] vyti̇̀s [grc] ἰτέα [lat] vītis [hye] գի [hye] գՙէ [hye] գՙի [hye] կէ՛նի [hye] կէ՛նէ [hye] իգէ՛նէ [san] वेतस [san] वेत्र [san] वैतस [ave] 𐬬𐬀𐬉𐬙𐬌 [pus] وله,*wéh₁itis,"that which twines or bends, branch, switch",14,,kaikki,noun,
train-4f40589ff2234a0d-01,[grc] ἀλφή [san] अर्ह्,*h₂elgʷʰ-,"to cost, have value, be worth",2,,kaikki,root,
train-a3c2e79028c64356-01,[san] स्नापयति [ave] 𐬁𐬯𐬥𐬀𐬌𐬌𐬁𐬝 [txb] nāsk- [grc] νᾶμᾰ [san] नामन् [bre] neuñv [mid] nawf [cym] nofio [gle] snámh [gla] snàmh [san] स्नात [ave] 𐬯𐬥𐬁𐬙𐬀 [fas] شناویدن [fas] شنا [fas] اشنان [san] स्ना,*(s)neh₂-,"to swim, to float",21,,kaikki,root,
train-7818b0bbeda56852-01,[grc] ἐπιόψομαι [lat] optō [xto] opyāc [txb] epyac [txb] epiyac,*h₁op-,to desire,5,,kaikki,root,
train-e60c330df93e46cb-01,[san] मिमाति [san] मिमीते [lat] (se)mel [hit] mē(i̯)an- [lat] mōs [lat] mēta [san] माति [sqi] mot [grc] μῆτις [lat] mētior [hin] मात्र [grc] μέτρον [bre] ment [cym] maint [gle] méid [gle] méad [gla] meud [fra] maint [sqi] mat [sqi] mas [grc] -μωρος [hit] 𒍖𒈨𒄯 [lit] mãtas [lit] mẽtas [lav] mȩts [prg] mattei [prg] mettan [prg] metthe [prg] mette [san] असमाति,*meh₁-,to measure,31,,kaikki,root,
train-47e4e3ce52db22b1-01,[ell] límpoyros,*melit-,nan,1,6209.0,iecor,nan,
train-82093e41685e9bd4-01,[lat] dūxī [lat] dux [lat] ductus [sqi] nduk [hit] tukzi- [hit] tukkanzi-,*dewk-,"to pull, to draw, to lead (i.e. to pull behind oneself)",6,,kaikki,root,
train-b3ee1f3d314a8f03-01,[ben] mārapiṭ karā,*mer-,nan,1,7351.0,iecor,nan,
train-2f50b4d3ed6e0751-01,[hit] 𒅖𒉺𒀀𒀭𒋾 [grc] σπένδω [lat] spōnsīs [hit] 𒅆𒉺𒀀𒀭𒋾 [lat] spepondī [lat] spopondī [txb] späntetär [txb] spantai [grc] σπονδή,*spend-,to libate,9,,kaikki,root,
train-b5d239732865b2ad-01,[sqi] morr [hye] մրջյուն [grc] μύρμηξ [grc] μύρμος [grc] βόρμαξ [grc] βύρμαξ,*morwís,ant,6,,kaikki,noun,
train-a829334d2819380b-01,[san] अपात् [grc] πῶθι [san] पपौ [grc] πῶμα [grc] πόμα [grc] πόσις [san] पीति [sga] ól [san] पात्र [lat] pōculum [san] पातृ [sqi] pi [sqi] pinë [ell] πίνω [san] पाययति [hit] pa-a-aš-šu-an-zi [prg] poieti [grc] πότος [san] पा,*peh₃-,to drink,23,,kaikki,root,
train-a4fab7910cabcb87-01,[sga] -saig [sga] sachtae [sga] -sacht [sqi] gjegj [hit] 𒊭𒀀𒀝𒆠 [hit] 𒊭𒀝𒆠 [hit] 𒊭𒃷𒍣 [hit] 𒊺𒅅𒃷𒍣 [hit] 𒊺𒃷𒍣 [sga] sïacht [cel] sioxti [grc] ἡγέομαι [sqi] gjah [sqi] gjuaj [lat] sāgus,*seh₂g-,"to trace, follow",18,,kaikki,root,
train-2374e5697f5cf146-01,[lit] plúkti [lat] plūma [lav] plaûki [lit] pláukas [lav] plūksnas [lav] plūksnes [lit] plùnksna [lit] plū́ksna [prg] planxdine [lit] plaũkti,*plewk-,"to fly, flow, run, to splash, flap with hands",10,,kaikki,root,
train-771fbf0e672dc8fa-01,[cel] leux [san] रुच् [fas] رخش,*léwks,light,3,,kaikki,noun,
train-767a13bf23eab9cc-01,[grc] πλεύμων [san] क्लोमन् [lat] pulmō,*pléwmō,"lung, (literally) floater",3,,kaikki,noun,
train-f60ad9aec9087b2c-01,[cat] gel [por] gelo [spa] hielo [old] yelo [old] gel [por] gelo,*⁽g̑⁾el-,nan,6,6560.0,iecor,nan,
train-67d0bf6aa466ba0b-01,[xto] kälytär [txb] kaltär,*k̑lei̯-,nan,2,2288.0,iecor,nan,
train-30b36df24239e2ad-01,[fas] سپند,*ḱwen-,"holy, sacred",1,,kaikki,root,
train-9ae8793fe8a69a31-01,[grc] ἦτορ [sga] athach,*h₁eh₁t-,"to breathe, breath",2,,kaikki,root,
train-ba89331f5245615f-01,[lat] domus [chu] domŭ [pol] dom [sor] dom [sor] dom [ces] dům [slk] dom [ukr] dìm [bel] dom [rus] dom [xcl] town [hye] town [hyw] town [sar] (d)ommo [sar] domo [lit] nãmas [ave] nmāna [old] dom [old] dóm [old] domŭ [kur] māɫ [kur] māḷ [kur] māḷ,*dem-,nan,23,5141.0,iecor,nan,
train-00d4c8a5a29e0b2f-01,[sar] tizhd,*temk-,nan,1,9388.0,iecor,nan,
train-529deba9df753422-01,[sqi] ndë [hit] 𒀭𒁕 [xlu] 𒀀𒀭𒋫 [lyc] 𐊑𐊗𐊁 [bre] an- [cym] an- [cym] af- [sga] ind- [cel] ande- [xto] ane [txb] eneṃ,*h₁n̥dó,"into, inside",11,,kaikki,adv,
train-1371aef0a08cb829-01,[xcl] -այն [xcl] -ին [lit] -inas [lav] -īns [lav] -ains [grc] -ινος [san] -ईन,*-iHnos,Creates adjectives of materials.,7,,kaikki,suffix,
train-163fb3b3be786697-01,[ben] bami karā [fra] vomir [ita] vomitare [lit] vémti [por] vomitar [sin] vamāranavā [spa] vomitar [wal] vômi [lav] vemt [san] vam(i)- [grc] eméō [mai] bokaranā [prg] wimbmis [lat] uomere [fri] gomitâ [cat] vomitar [ave] vaṇta [oss] womyn [oss] wæmun [pal] vamati [kho] bame [ell] eméō [lat] vemt [ron] vomita [nea] vummecà [old] vomir [ang] vomir [fra] vomi [old] vomitar [dal] gomituọr [old] vomitar [meg] vumári [ass] bômi kôrā [mid] wāmēd [por] vomitar,*u̯emh₁-,nan,35,840.0,iecor,nan,
train-2038d84d2e3c4637-01,[sqi] zog [sqi] zogu,*g̑ʰu̯eh₂gʰV-,nan,2,361.0,iecor,nan,
train-a057456747366778-01,[hit] tri- [lyc] 𐊗𐊕𐊁𐊆 [xlu] 𔑰𔖱𔓯 [hye] երեք,*tréyes,three,4,,kaikki,num,
train-d6daa57b8812644a-01,[sqi] i madh,*meg̑-,nan,1,8382.0,iecor,nan,
train-cedf7f4cab6f4130-01,[mid] gīrēd [kur] werdgɨrit [san] grabh(i)- [fas] gereftan [pal] ghína [mar] gheṇe [sin] gannavā [pal] gaṇhati/gaṇhāti [kho] ganik [gaw] goik [ave] gərəβnāiti [bal] gīt [kur] agrıt [maz] garne [raj] ʋạyre [lar] agere [tat] angere [haw] magēro [khw] xafeda [kum] diga [gaw] ginūg [old] agṛbāya [pas] guretaau [kam] g′âa- [kât] g′âa-,*gʰrebh₂-,nan,25,5227.0,iecor,nan,
train-5201dbde96367b71-01,[bel] zorka [ukr] zìrka,*?*g̑⁽ʰ⁾er-,nan,2,1243.0,iecor,nan,
train-81933c67f168d066-01,[grc] ὀχέομαι [san] वाहयति,*woǵʰéyeti,"to cause to bring, transport",2,,kaikki,verb,
train-6140b7101a3618aa-01,[grc] δέρω,*déreti,"to be splitting, separating, to be tearing, skinning, flaying",1,,kaikki,verb,
train-a0ca4b17350f5d56-01,[sqi] tym [lat] fūmus,*dʰuh₂mós,smoke,2,,kaikki,noun,
train-5277e69169e7be09-01,[ces] cítit [slk] cítiť [slk] čutiti [slk] čutiti [chu] obonjati,*?*i̯eu̯t-,nan,5,4849.0,iecor,nan,
train-d489d31a1ff57136-01,[ave] pąsnu [kho] phānä [khw] pānic [pas] paau,*?*pē(n)s-,nan,4,3679.0,iecor,nan,
train-2a2dbbbd211d431d-01,[xcl] եղտիւր [grc] ἕλος [deu] Saale,*sélos,"marsh, salt marsh",3,,kaikki,noun,
train-dce655aba96b65c5-01,[san] ओष [grc] εὗσα [lat] ussī [san] उष्ण [san] उष्ट [lat] ustus,*h₁ews-,to burn,6,,kaikki,root,
train-2d4d7e8f61c14f7c-01,[gae] tine [gae] teine [sga] teine [gae] aile [mid] tan [bre] tan [bre] tan [cym] tân [mid] tan [mid] tan [lat] tân,*tep-,nan,11,1001.0,iecor,nan,
train-ec59ad126e205429-01,[ang] ī- [non] í [grc] -ῑ́ [ave] 𐬍,*íh₁,emphatic particle,4,,kaikki,particle,
train-5452a86a185f9304-01,[grc] ἕρπω [san] सर्पति [lat] serpō,*sérpeti,"to be creeping, to be crawling",3,,kaikki,verb,
train-89d7d0a451c73359-01,[hyw] ertʿal,*steh₂-,nan,1,5948.0,iecor,nan,
train-5d6037b332695b30-01,[dan] orm [nld] worm [eng] worm [fle] worm [fra] ver [fri] wjirm [deu] Wurm [ita] verme [lad] verm [sar] berme [sar] erme [wal] vièr [lux] Wuerm [lat] uermis [fri] vier [por] verme [isl] ormur [ron] vierme [nea] verme [old] verm [ang] verm [fra] véh [deu] Wurm [old] verme [dal] vi̯arm [goh] uurm [mid] wurm [ang] wyrm [old] uuurm [mid] worm [old] ormr [meg] ǵérmu [mil] vèrman,*u̯r̥mi-,nan,33,348.0,iecor,nan,
train-20d6836911f302f1-01,[bul] gora,*gʷerH-,nan,1,2365.0,iecor,nan,
train-6a008c96fbb5a06d-01,[lat] Remus,*yemHós,twin,1,,kaikki,noun,
train-985680346c351ce3-01,[sor] šyja [sor] šija [pol] szyja [rus] šeâ [ukr] šiâ [bel] šyâ [kas] szëja [old] szyja [old] šíjě [rus] šẹ́ja [mkd] šìja [mkd] šìja,*si̯eu̯H-,nan,12,1203.0,iecor,nan,
train-e4e537bb9c64bf0b-01,[bul] gnil [bel] gnìly [ces] shnilý [sor] zgnity [sor] zhniły [mkd] gnil [rus] gniloj [hbs] gnjio [slk] zhnitý [slk] gnil [ukr] gnilij [chu] sŭgnilŭ [pol] zgniły [pol] gnålă [kas] zgniti [old] zgniły [old] (s)hnilý [old] glinyi [rus] ɣnɪlώj [slk] gnil [slk] ṡgnyl,*g̑ʰnei̯H-,nan,21,1166.0,iecor,nan,
train-a9dd03c34bd2e76e-01,[lit] pil̃vas,*pleh₁-,nan,1,1889.0,iecor,nan,
train-a5fb68e7401619f0-01,[sqi] ku [san] कु,*kú,where?,2,,kaikki,adv,
train-844b6c2bcf81ef1b-01,[grc] óros [ell] o-ṛẹ-i [ell] óros,*h₃er-,nan,3,1509.0,iecor,nan,
train-a47895be45422f24-01,[cat] escorça [fra] écorce [lad] scorza [sar] iskórza [spa] corteza [lat] cortex [ita] corteccia [fri] scuarce [por] casca [ron] scoarță [nea] scorza [old] escorce [ang] escorce [old] corteça [fra] ékourfa [sar] corgiólu [old] escòrça [old] escorça [por] casca,*(s)kert-,nan,19,182.0,iecor,nan,
train-887afe56936a6c57-01,[hye] երեսուն [grc] τριάκοντα [lat] trīgintā [xto] taryāk [txb] täryāka,*tridḱómt,thirty,5,,kaikki,num,
train-4f0be988326460fa-01,[lav] zelt [lit] žélti [nor] glæ [lat] holus [grc] χλωρός [ave] 𐬰𐬁𐬭𐬀 [fas] زهره [fas] زهله [san] हलीक्ष्ण [lav] zelts [sqi] diell [grc] χλόη [lav] zaļš [lit] žãlias,*ǵʰelh₃-,"green, yellow",14,,kaikki,root,
train-c0c02897887e30fe-01,[nep] kamilā,*kʷer-,nan,1,7072.0,iecor,nan,
train-9d9074240951e783-01,[san] स्वरति [san] अस्वार् [bre] c’hoarzhin [cym] chwerthin [lat] surdus [lat] susurrus,*swer-,"to resound; ringing, whistling, to speak loudly, to proclaim",6,,kaikki,root,
train-1853e20d38b6d974-01,[hit] ārra- [grc] ὄρρος,*h₁órsos,"buttocks, arse",2,,kaikki,noun,
train-50ff62628819a6a8-01,[ell] pa-si,*bʰeh₂-,nan,1,6802.0,iecor,nan,
train-984e08b2289f6803-01,[wak] rim [mid] rēman [par] rēman [sog] rēmnē,*h₃rei̯H-,nan,4,3698.0,iecor,nan,
train-3d8c1cbbba5eb4e4-01,[lat] quot,*kʷóti,how many?,1,,kaikki,adv,
train-0203049945537774-01,[grc] πέποιθᾰ,*bʰebʰóydʰe,"to be trusting, confident",1,,kaikki,verb,
train-5543d0d2762da91d-01,[pal] vac ≠ vatti [par] wāčēd [khw] wass [raj] ạʋje ≠ bašʋạ [tat] māje [kur] ežıt [kur] üšē [haw] mwāčo [kur] eyžē,*u̯ekʷ-,nan,9,2415.0,iecor,nan,
train-e773c95e0ef3da1c-01,[hit] 𒋠𒀸 [grc] λῆνος [lat] lāna,*h₂wĺ̥h₁neh₂,wool,3,,kaikki,noun,
train-4915b9e5e1991e0b-01,[grc] -ᾱ́ [grc] -ή,*-éh₂,Creates action nouns and abstract nouns.,2,,kaikki,suffix,
train-7300c78e6e255997-01,[grc] νεφρός,*negʷʰrós,kidney,1,,kaikki,noun,
train-39927bdd40ddd7f1-01,"[ben] ṭhānḍā [hin] ṭhaṇḍā [mar] thaṇḍī [mai] ṭhaṅḍā [urd] ṭhaṇḍā [mag] ṭhaṅḍā [bho] ṭhaṇḍā [ass] ṭhāṇḍā [pun] ṭʰaⁿḍā, ṭʰaⁿḍʰā",*stembʰH-,nan,9,761.0,iecor,nan,
train-152c33c996bf8939-01,"[slk] parkil, parkel",*per-,nan,1,7745.0,iecor,nan,
train-da0e1c2096138220-01,[ell] epsés [ell] opsé(s),*h₁ep-,nan,2,6259.0,iecor,nan,
train-b295ed37b9c70a93-01,[xto] likäṣ [txb] laikanatär,*u̯lei̯kʷ-,nan,2,3077.0,iecor,nan,
train-2eef3d673f1aa867-01,[grc] τέρσομαι [goh] dorrēn [lat] torrēns [gle] tearc [lat] tesquum [lat] tescum [sga] tur [ave] 𐬙𐬀𐬭𐬱𐬎 [mid] tšknk' [xcl] թաշկինակ [deu] Darre [nor] tarre [swe] tarre [grc] ταρσός [lat] torrus [sqi] ter [xcl] թառամ [xcl] թարշամ-,*ters-,dry,18,,kaikki,root,
train-c1af297a0c158676-01,"[lat] calō [isl] hjala [san] क्रन्दति [san] क्लन्दति [grc] καλέω [lat] (con)cilium [grc] κληδών [lat] classis [hye] աքաղաղ [hye] աքլոր [lat] clārus [lat] clāmō [lat] clāmōsus [lav] skaļš [lit] skãlyti [lit] skalùs [lit] skali̇̀kas [lit] kalė̃ [rus] скули́ть [mid] scellen [deu] schellen [isl] skella [isl] skjalla [ang] scillen [mid] schellen [nor] skjelle [deu] Schall [nld] schal [swe] skall [deu] Schelle [nld] schel [deu] schelten [eng] scold [hye] ցուլ [grc] σκύλαξ [grc] κύλλα [grc] σκύλος [grc] σκύλιον [grc] σκύλλα [grc] Σκύλλα [grc] σκυλλίς [grc] σκύμνος [hit] kalgalinai- [hit] kalleš-, kalliš- [lav] kaļôt [lit] kalba [rus] ко́локол [deu] hell",*kelh₁-,"to call, cry, summon",66,,kaikki,root,
train-0658b202c8e7c1de-01,[gae] grian [gae] grian [sga] grían [gae] grian,*gʷʰer-,nan,4,2299.0,iecor,nan,
train-9630e7481513833c-01,[hit] 𒉿𒀠𒄴𒍣 [lat] vellō [xto] wälläṣtär [xcl] գեղարդն [lav] veļi [lit] vėlė [lit] veliónis [ces] válka [pol] walka [gle] flann [gla] flann [bre] gouli [cym] gweli [non] valr [non] Valhǫll [non] valkyrja [grc] οὐλή [grc] ἁλίσκομαι [lat] vulnus [fas] والانه [fas] ولانه [xto] wäl [xto] walu,*welh₃-,"to hit, to strike",30,,kaikki,root,
train-89aa26a344b47f64-01,[aln] thom [sqi] them [sqi] thomë,*k̑eHs-,nan,3,8260.0,iecor,nan,
train-050ed1253b3e2f7b-01,[lit] mę̃sti [xto] mänt- [san] मथ्नाति [lat] mandō [txb] mänt-,*menth₂-,to stir,5,,kaikki,root,
train-bb16b19d5f0bf773-01,[lit] -is [prg] -is [lat] -is [grc] -ις [san] -इ [ave] -𐬌,*-is,"Forms nouns from verbs., Forms nouns from thematic adjectives.",6,,kaikki,suffix,
train-9b04d5e864f2355c-01,[nld] vuur [eng] fire [fri] fjoer [deu] Feuer [grc] pỹr [hit] paḫḫur / paḫḫuen- [xto] por [txb] puwar [lux] Feier [prg] panno [xcl] howr [xlu] pāḫūr [umb] pir [ell] pu-* [ell] pỹr [deu] Füür [goh] fiur [old] fiūr [mid] viur [ang] fȳr [old] fiur [mid] vuur [got] fon,"*péh₂-u̯r̥, *ph₂-u̯én-",nan,23,219.0,iecor,nan,
train-2fc42b6538d89e57-01,[pol] zaivåtăk,*gʷi̯eh₃-,nan,1,5140.0,iecor,nan,
train-f95ae024c337666a-01,[hyw] mōt [hye] mot [xcl] mawt,*?*meHd-,nan,3,618.0,iecor,nan,
train-dbcd6cf0685e1068-01,[nep] rāto [sin] ratu [khw] raxtik,*(s)re⁽g̑⁾-,nan,3,1814.0,iecor,nan,
train-6b3cea636895d95c-01,[goh] hrispahi [mid] rispe [mid] rispen [mid] rispeln [lat] crispus,*kripsós,curly,5,,kaikki,adj,
train-19221f0e0ae7ec16-01,[grc] πυστός,*bʰudʰtós,aware,1,,kaikki,adj,
train-3391d375a8e83709-01,[sqi] shtoj [hit] istanh-ᵐⁱ [hye] ստանալ [lat] dē-stinō [lat] ob-stinō,*stnéh₂ti,"to place, to stand",5,,kaikki,verb,
train-44e47a29657efc3d-01,[cym] cael [lat] incohō [non] heggr [lat] caulae [xcl] ցանգ [xcl] ցանկ [cym] caen [mid] haghen [goh] hagan [cym] caer [san] कक्ष,*kagʰ-,"to hold, keep, to close, enclose, that which encloses: fence, hedge, barrier, enclosed space, fenced field, pasture",16,,kaikki,root,
train-7ca15fb3cda74f54-01,[hit] 𒊭𒀝𒋼𒀀 [hit] 𒍝𒀝𒋼𒀀 [lav] sãrņi [grc] σκῶρ [ave] 𐬯𐬀𐬌𐬭𐬌𐬌𐬀- [lat] -cerda,*sóḱr̥,"dung, excrement",6,,kaikki,noun,
train-8b08da4e26b3a4ad-01,[grc] φόρος [san] भर,*bʰóros,"load, what is borne, burden",2,,kaikki,noun,
train-0daaef29e7960f2c-01,[lav] baĩdît [lit] baidýti [prg] pobaiint [lat] foedus [san] भेम,*bʰeyh₂-,"to shake, tremble, to fear, be afraid",5,,kaikki,root,
train-397f5ee2384eb25f-01,[fra] épais [wal] spès [fra] épeu [old] espesso [old] espes,*?*spei̯d-,nan,5,3004.0,iecor,nan,
train-dcc41e2dbcffd2da-01,"[aln] katër [hyw] čʿors [hye] čʿors [ben] cār [bul] četiri [bel] čatyry [cat] quatre [ces] čtyři [dan] fire [nld] vier [eng] four [far] fýra [fle] vier [fra] quatre [fri] fjouwer [deu] vier [ell] téssera [hin] cāra [isl] fjórir [gae] ceathar [ita] quattro [kas] tsɔɔr [lad] cater [lit] keturì [sor] styri [sor] štyri [mkd] četiri [mar] cāra [nep] cāra [fas] čahār [pol] cztery [por] quatro [nob] fire [rus] četyre [sar] cuátro [hbs] četiri [sin] hatara [slk] štyri [slk] štiri [spa] cuatro [swe] fyra [ukr] čotiri [wak] cabʉr [wal] cwate [gae] ceithir [xto] śtwar [txb] śtwer [lat] quattuor [lux] véier [lav] četri [chu] četyre [san] catvā́raḥ [urd] cār [mai] cār [grc] téttares [fri] cuatri [sga] cethair [ave] caϑβar [xcl] čʿors [osc] pettiur [umb] petur- [gau] petuar [oss] cyppar [oss] cuppar [sqi] katër [bho] chāri [old] fiurir [elf] fyra [pal] catur [mag] cār [ell] qe-te-ro- [mid] peuar, peuoar [kho] tcahora [ell] téssares [old] petguar [pol] citĕr [kas] sztërë [mid] čahār [kur] čar [par] čafār [ell] tésseris [ell] tésseroi [yag] tufṓr [ell] tessároi [ell] téssera [lat] četri [nea] quatto [old] catre [ang] quatre [fra] katro [old] cuatro [ron] patru [bre] pwar, pider [bre] pewar [cym] pedwar [gae] kiare [pal] čúur [sar] báttoro [old] cztyrzy [mid] pedwar [old] petguar [kum] čār [old] čtyřie [old] četyre [rus] čotώrɪ [mkd] čètir [mkd] čètri [slk] štiri [slk] ṡhtiri [bac] sofaro [deu] vier [tat] čāhār [sog] čtfār [maz] čār [bak] čār [del] t͡ʃɒr [lar] čār [kur] čʷār [old] quatre [meg] pátru [sqi] katër [khw] cfār [old] quatre [kho] čoor [gaw] tsur [pas] ssalor [haw] čwār [kur] čwār [raj] čạr [gaw] čōr [goh] fior [sar] cavur [old] fiuwer [mid] vier [ang] fēower [old] fiuuuar [mid] vier [old] fjórir [got] fidwor [pun] cār [mid] peswar [lat] padzhar, pager [nor] fire [por] quatro [vâs] čp′u [pas] čor [ass] sāri [kam] št′o [kât] štav′o [kât] štav′o [kal] čatâ [san] ćât′âː [kur] čwār [mil] quàtar","*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-",nan,154,44.0,iecor,nan,
train-344e19fd0cc90f60-01,[grc] -έω [grc] -όω [grc] -πτω [grc] -σσω [grc] -ττω [grc] -ζω [grc] -λλω [grc] -ιCω [lat] -iō [san] -यति [san] -यते [ave] -𐬌𐬌𐬈𐬌𐬙𐬌,*-yéti,"Creates intransitive, often deponent, imperfective verbs from roots.",14,,kaikki,suffix,
train-7eb85896240673a9-01,[bul] prah [ces] prach [sor] proch [sor] proch [mkd] prav [hbs] prašina [slk] prach [slk] prah [chu] praxŭ [pol] porsnenă [old] proch [old] prach [rus] pórox [mkd] pràšam [mkd] pràša [slk] prah [slk] práh,*pres-,nan,17,1125.0,iecor,nan,
train-4a4818d59f5c5e84-01,[cat] a prop [lat] prope [ron] aproape [lad] damprò [meg] pro̯ápi [old] prop,"*pr̥-, *pró, *prí",nan,6,1266.0,iecor,nan,
train-f0c90cd76956a8a1-01,[pas] wangetaau,*gʷʰen-,nan,1,8806.0,iecor,nan,
train-0d911b5d1614dbdc-01,[eng] yode [eng] yede [got] 𐌹𐌳𐌳𐌾𐌰 [got] 𐌹𐌳𐌳𐌾𐌴𐌳𐌿𐌽 [txb] eye [san] एमन् [txb] aiñye [txb] aittäṃ [sga] óeth [hit] 𒄿𒉿𒅈 [san] इव [sqi] eja [sqi] iki [hit] 𒄿𒄿𒀀𒀜𒋫 [isl] eigra [fas] جن [fas] آی [san] एव [xto] i- [txb] i-,*h₁ey-,to go,40,,kaikki,root,
